"extension","type","description","mime_type","validation_command"
".c","source","C source code","text/x-c","none"
".cpp","source","C++ source code","text/x-cpp","none"
".cs","source","C# source code","text/x-csharp","none"
".h","source","C/C++ header file","text/x-chdr","none"
".hpp","source","C++ header file","text/x-cpphdr","none"
".m","source","Objective-C source code","text/x-objectivec","none"
".mm","source","Objective-C++ source code","text/x-objectivec++","none"
".java","source","Java source code","text/x-java-source","none"
".kt","source","Kotlin source code","text/x-kotlin","none"
".scala","source","Scala source code","text/x-scala","none"
".groovy","source","Groovy source code","text/x-x-groovy","none"
".py","source","Python source code","text/x-python","ruff check <file>"
".pyw","source","Python windowed source code","text/x-python","ruff check <file>"
".swift","source","Swift source code","text/x-swift","none"
".rb","source","Ruby source code","text/x-ruby","none"
".pl","source","Perl script","text/x-perl","none"
".pm","source","Perl module","text/x-perl","none"
".go","source","Go source code","text/x-go","none"
".rs","source","Rust source code","text/x-rust","none"
".sh","script","Shell script","application/x-sh","none"
".bat","script","Batch script","application/x-msdownload","none"
".ps1","script","PowerShell script","application/x-powershell","none"
".sql","database","SQL database file","application/sql","none"
".r","source","R source code","text/x-r","none"
".dart","source","Dart source code","application/dart","none"
".lua","source","Lua source code","text/x-lua","none"
".pas","source","Pascal source code","text/x-pascal","none"
".f","source","Fortran source code","text/x-fortran","none"
".f90","source","Fortran 90 source code","text/x-fortran","none"
".html","web","HyperText Markup Language","text/html","none"
".htm","web","HyperText Markup Language","text/html","none"
".css","web","Cascading Style Sheets","text/css","none"
".js","web","JavaScript","application/javascript","eslint <file>"
".ts","web","TypeScript","application/typescript","tsc --noEmit <file>"
".jsx","web","JavaScript XML (React)","text/jsx","eslint <file>"
".tsx","web","TypeScript XML (React)","text/tsx","tsc --noEmit <file>"
".php","web","PHP script","application/x-php","none"
".asp","web","Active Server Page","application/x-asp","none"
".aspx","web","Active Server Page","application/x-aspx","none"
".jsp","web","Java Server Page","application/x-jsp","none"
".xml","data","Extensible Markup Language","application/xml","none"
".json","data","JavaScript Object Notation","application/json","none"
".csv","data","Comma-Separated Values","text/csv","none"
".yaml","data","YAML Ain't Markup Language","application/x-yaml","none"
".yml","data","YAML Ain't Markup Language","application/x-yaml","none"
".md","document","Markdown document","text/markdown","none"
".txt","text","Plain text file","text/plain","none"
